tamanho;algoritmo;cores;qtd_primos;tempo;speedup
150000000;mpi;4;8444396;14,5748;
150000000;mpi;4;8444396;14,5435;
150000000;mpi;4;8444396;14,5897;
150000000;mpi;4;8444396;14,583;
150000000;mpi;4;8444396;14,5867;
150000000;mpi;4;8444396;14,5345;
150000000;mpi;4;8444396;14,8301;
150000000;mpi;4;8444396;14,5229;
150000000;mpi;4;8444396;14,5484;
150000000;mpi;4;8444396;14,6577;
200000000;mpi;4;11078937;21,2562;
200000000;mpi;4;11078937;21,2405;
200000000;mpi;4;11078937;21,1464;
200000000;mpi;4;11078937;21,2034;
200000000;mpi;4;11078937;21,2325;
200000000;mpi;4;11078937;21,1002;
200000000;mpi;4;11078937;21,1434;
200000000;mpi;4;11078937;21,1043;
200000000;mpi;4;11078937;21,107;
200000000;mpi;4;11078937;21,1422;
